age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,target
39,0,77516,13,0,0,0,0,0,2174,0,40,0,0
50,1,83311,13,1,1,1,0,0,0,0,13,0,0
38,2,215646,8,2,2,0,0,0,0,0,40,0,0
53,2,234721,6,1,2,1,1,0,0,0,40,0,0
28,2,338409,13,1,3,2,1,1,0,0,40,1,0
37,2,284582,14,1,1,2,0,1,0,0,40,0,0
49,2,160187,4,3,4,0,1,1,0,0,16,2,0
52,1,209642,8,1,1,1,0,0,0,0,45,0,1
31,2,45781,14,0,3,0,0,1,14084,0,50,0,1
42,2,159449,13,1,1,1,0,0,5178,0,40,0,1
37,2,280464,12,1,1,1,1,0,0,0,80,0,1
30,0,141297,13,1,3,1,2,0,0,0,40,3,1
23,2,122272,13,0,0,3,0,1,0,0,30,0,0
32,2,205019,10,0,5,0,1,0,0,0,50,0,0
34,2,245487,3,1,6,1,3,0,0,0,45,4,0
25,1,176756,8,0,7,3,0,0,0,0,35,0,0
32,2,186824,8,0,8,4,0,0,0,0,40,0,0
38,2,28887,6,1,5,1,0,0,0,0,50,0,0
43,1,292175,14,2,1,4,0,1,0,0,45,0,1
40,2,193524,15,1,3,1,0,0,0,0,60,0,1
54,2,302146,8,4,4,4,1,1,0,0,20,0,0
35,3,76845,4,1,7,1,1,0,0,0,40,0,0
43,2,117037,6,1,6,1,0,0,0,2042,40,0,0
59,2,109015,8,2,9,4,0,1,0,0,40,0,0
56,4,216851,13,1,9,1,0,0,0,0,40,0,1
19,2,168294,8,0,10,3,0,0,0,0,40,0,0
39,2,367260,8,2,1,0,0,0,0,0,80,0,0
49,2,193366,8,1,10,1,0,0,0,0,40,0,0
23,4,190709,10,0,11,0,0,0,0,0,52,0,0
20,2,266015,12,0,5,3,1,0,0,0,44,0,0
45,2,386940,13,2,1,3,0,0,0,1408,40,0,0
30,3,59951,12,1,0,3,0,0,0,0,40,0,0
22,0,311512,12,1,4,1,1,0,0,0,15,0,0
48,2,242406,6,0,8,4,0,0,0,0,40,5,0
21,2,197200,12,0,8,3,0,0,0,0,40,0,0
19,2,544091,8,5,0,2,0,1,0,0,25,0,0
48,1,265477,10,1,3,1,0,0,0,0,40,0,0
31,2,507875,4,1,8,1,0,0,0,0,43,0,0
53,1,88506,13,1,3,1,0,0,0,0,40,0,0
24,2,172987,13,1,9,1,0,0,0,0,50,0,0
49,2,94638,8,4,0,4,0,1,0,0,40,0,0
25,2,289980,8,0,2,0,0,0,0,0,35,0,0
57,3,337895,13,1,3,1,1,0,0,0,40,0,1
53,2,144361,8,1,8,1,0,0,0,0,38,0,0
44,2,128354,14,2,1,4,0,1,0,0,40,0,0
41,0,101603,11,1,10,1,0,0,0,0,40,0,0
29,2,271466,11,0,3,0,0,0,0,0,43,0,0
25,2,32275,12,1,1,2,4,1,0,0,40,0,0
47,2,51835,9,1,3,2,0,1,0,1902,60,6,1
50,3,251585,13,2,1,0,0,0,0,0,55,0,1
47,5,109832,8,2,1,0,0,0,0,0,60,0,0
43,2,237993,12,1,9,1,0,0,0,0,40,0,1
46,2,216666,2,1,8,1,0,0,0,0,40,4,0
35,2,56352,11,1,4,1,0,0,0,0,40,5,0
41,2,147372,8,1,0,1,0,0,0,0,48,0,0
30,2,188146,8,1,8,1,0,0,5013,0,40,0,0
30,2,59496,13,1,5,1,0,0,2407,0,40,0,0
48,2,149640,8,1,6,1,0,0,0,0,40,0,0
42,2,116632,15,1,3,1,0,0,0,0,45,0,1
29,2,105598,12,2,9,0,0,0,0,0,58,0,0
36,2,155537,8,1,10,1,0,0,0,0,40,0,0
28,2,183175,12,2,0,0,0,1,0,0,40,0,0
53,2,169846,8,1,0,2,0,1,0,0,40,0,1
49,5,191681,12,1,1,1,0,0,0,0,50,0,1
19,2,101509,12,0,3,3,0,0,0,0,32,0,0
31,2,309974,13,4,5,3,1,1,0,0,40,0,0
29,1,162298,13,1,5,1,0,0,0,0,70,0,1
23,2,211678,12,0,8,0,0,0,0,0,40,0,0
79,2,124744,12,1,3,5,0,0,0,0,20,0,0
27,2,213921,8,0,4,3,0,0,0,0,40,4,0
40,2,32214,10,1,0,1,0,0,0,0,40,0,0
18,2,309634,6,0,4,3,0,1,0,0,22,0,0
31,4,125927,3,1,7,1,0,0,0,0,40,0,0
18,2,446839,8,0,5,0,0,0,0,0,30,0,0
52,2,276515,13,1,4,1,0,0,0,0,40,1,0
46,2,51618,8,1,4,2,0,1,0,0,40,0,0
59,2,159937,8,1,5,1,0,0,0,0,48,0,0
44,2,343591,8,2,10,0,0,1,14344,0,40,0,1
53,2,346253,8,2,5,3,0,1,0,0,35,0,0
49,4,268234,8,1,11,1,0,0,0,0,40,0,1
33,2,202051,14,1,3,1,0,0,0,0,50,0,0
30,2,54334,4,0,5,0,0,0,0,0,40,0,0
43,3,410867,15,0,3,0,0,1,0,0,50,0,1
57,2,249977,11,1,3,1,0,0,0,0,40,0,0
37,2,286730,12,2,10,4,0,1,0,0,40,0,0
28,2,212563,12,2,8,4,1,1,0,0,25,0,0
34,4,226296,13,1,11,1,0,0,0,0,40,0,1
29,4,115585,12,0,2,0,0,0,0,0,50,0,0
48,1,191277,15,1,3,1,0,0,0,1902,60,0,1
37,2,202683,12,1,5,1,0,0,0,0,48,0,1
48,2,171095,10,2,1,4,0,1,0,0,40,7,0
32,3,249409,8,0,4,3,1,0,0,0,40,0,0
76,2,124191,14,1,1,1,0,0,0,0,40,0,1
44,2,198282,13,1,1,1,0,0,15024,0,60,0,1
47,1,149116,14,0,3,0,0,1,0,0,50,0,0
20,2,188300,12,0,9,3,0,1,0,0,40,0,0
29,2,103432,8,0,10,0,0,0,0,0,40,0,0
32,5,317660,8,1,10,1,0,0,7688,0,40,0,1
30,2,194901,6,0,2,3,0,0,0,0,40,0,0
31,4,189265,8,0,0,0,0,1,0,0,40,0,0
42,2,124692,8,1,2,1,0,0,0,0,40,0,0
24,2,432376,13,0,5,5,0,0,0,0,40,0,0
