Problem, Success-Rate, Avg-Path-len, Avg-Knn-dist, Time, Lambda
Example1, 1.0, 1.9393939393939394, 0.9090909090909091, 0.04904937744140625, None
Example2, 1.0, 1.8181818181818181, 0.8484848484848485, 0.048766136169433594, None
Example3, 1.0, 1.606060606060606, 0.6666666666666666, 0.0437166690826416, None
Example4, 1.0, 1.606060606060606, 0.6666666666666666, 0.04590964317321777, None
Example5, 0.7878787878787878, 1.5769230769230769, 0.07692307692307693, 0.2800581455230713, 1.0
Example5, 0.7878787878787878, 1.3461538461538463, 0.07692307692307693, 0.26363253593444824, 10.0
Example5, 0.7878787878787878, 1.2692307692307692, 0.07692307692307693, 0.23624229431152344, 100.0

Example1, 1.0, 1.0, 0.6060606060606061, 0.03952789306640625, None
Example2, 1.0, 1.0909090909090908, 0.5757575757575758, 0.03991508483886719, None
Example3, 1.0, 1.0909090909090908, 0.5757575757575758, 0.040094614028930664, None
Example4, 1.0, 1.1515151515151516, 0.6363636363636364, 0.042200565338134766, None
Example5, 1.0, 1.1515151515151516, 0.30303030303030304, 0.03887796401977539, 1.0
Example5, 1.0, 1.303030303030303, 0.12121212121212122, 0.03878211975097656, 10.0
Example5, 0.9696969696969697, 1.375, 0.0625, 0.04057931900024414, 100.0
Example5, 0.9393939393939394, 1.3870967741935485, 0.03225806451612903, 0.04036283493041992, 1000.0
Example5, 0.7878787878787878, 1.2307692307692308, 0.0, 0.039762020111083984, 10000.0


