setting,validity,proximity_cont,proximity_cat,sparsity,causality,manifold,time
01_0.99_256_0.0001_0.1,99.98616682805367,0.03649557277255122,0.0,1.0,1.0,0.18071336014219302,109.47211599349976
01_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,110.08633089065552
1_0.99_128_0.001_0.05,100.0,0.03649218203218515,0.0002593719739936367,1.001521648914096,1.0,0.1807229446822204,110.45810389518738
10_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,114.14503955841064
01_0.99_256_0.001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,113.1667811870575
01_0.99_256_0.001_0.2,99.98616682805367,0.036507955174322114,0.0,1.0,1.0,0.1807202776850818,113.90939140319824
10_0.99_256_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,115.45258593559265
01_0.99_256_0.001_0.05,100.0,0.03572831650297416,0.009614054502697469,1.0625259371973994,1.0,0.18095095508665435,113.80931615829468
01_0.99_128_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,112.08545446395874
01_0.99_256_0.0001_0.05,100.0,0.03649605754599533,1.7291464932909115e-05,1.0001383317194632,1.0,0.1807229446822204,114.5301444530487
01_0.99_128_0.0001_0.05,100.0,0.03649744086318996,1.7291464932909115e-05,1.0006916585973165,1.0,0.18072986126819357,111.98359656333923
10_0.99_256_0.0001_0.05,99.98616682805367,0.03649695628112898,0.0,1.0,1.0,0.1807202776850818,116.88256192207336
10_0.99_128_0.0001_0.1,100.0,0.036507124083552396,0.0,1.0002766634389266,1.0,0.1807713607840325,117.08787178993225
10_0.99_256_0.001_0.2,100.0,0.03649605754599533,1.7291464932909115e-05,1.0,1.0,0.1807229446822204,116.94176697731018
10_0.99_128_0.0001_0.2,100.0,0.03631899294508234,0.0022305989763452758,1.0178447918107623,1.0,0.1807229446822204,117.14436292648315
10_0.99_256_0.001_0.1,100.0,0.036460091298934884,0.00013833171946327292,1.0004149951583898,1.0,0.18079211054195202,118.25105237960815
01_0.99_128_0.001_0.2,100.0,0.03655639323096789,0.0,1.0002766634389266,1.0,0.18075061102611306,115.50622510910034
1_0.99_128_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,115.55941247940063
