setting,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time
1_0.99_128_0.001_0.1,92.99610894941634,0.09279891310514352,0.05696813646604441,1.1631799163179917,0.6690985611559535,1.0,17.589493989944458
1_0.99_256_0.001_0.2,93.77431906614785,0.10313878203007593,0.06319821257580592,1.1991701244813278,0.6783449171577827,1.0,17.87727999687195
1_0.99_128_0.001_0.2,95.3307392996109,0.11249455760175858,0.05965463108320249,1.2040816326530612,0.7092509691703878,1.0,17.609808683395386
01_0.99_256_0.001_0.2,97.27626459143968,0.10019415120945874,0.06338461538461539,1.22,0.7214294884279234,1.0,17.872357845306396
1_0.99_128_0.001_0.05,94.16342412451363,0.09208673651881356,0.06611570247933883,1.2314049586776858,0.7099816406539917,1.0,18.230406761169434
01_0.99_256_0.001_0.1,94.94163424124514,0.1122821276088762,0.06399747793190415,1.2459016393442623,0.6962034995305594,1.0,18.17029881477356
01_0.99_128_0.001_0.2,96.10894941634241,0.08540802022578789,0.07162877608221736,1.263157894736842,0.7320427373128457,1.0,18.35000443458557
1_0.99_256_0.001_0.1,92.99610894941634,0.10860187324612942,0.05922111361441904,1.217573221757322,0.6971216229743673,1.0,18.55264973640442
01_0.99_256_0.001_0.05,94.94163424124514,0.1322592107532733,0.06116015132408574,1.2663934426229508,0.7154514948281324,1.0,18.467570781707764
1_0.99_128_0.0001_0.2,94.94163424124514,0.09344139597659147,0.061790668348045384,1.1475409836065573,0.7378203034213379,1.0,18.53030276298523
1_0.99_128_0.0001_0.05,94.94163424124514,0.0953680300306388,0.06147540983606556,1.1680327868852458,0.7441354764984544,1.0,18.572556495666504
1_0.99_256_0.001_0.05,93.77431906614785,0.10890790218109005,0.06160229811682093,1.1867219917012448,0.728276166457564,1.0,18.69249391555786
1_0.99_256_0.0001_0.05,93.77431906614785,0.10672020484485634,0.06128311522502393,1.1825726141078838,0.7329875518672201,1.0,18.809500694274902
1_0.99_128_0.0001_0.1,95.71984435797665,0.0860530391018196,0.06848030018761725,1.2520325203252032,0.7752357288485455,1.0,19.007099390029907
01_0.99_256_0.0001_0.1,95.71984435797665,0.08529541323724334,0.06785490931832394,1.1666666666666667,0.7840022606352558,1.0,19.182005167007446
