Setting:0_0.99_128_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_128_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_128_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_128_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_256_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_256_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.63  # 
Setting:0_0.99_256_0.001_0.05, Correct: 7224, KNN: 0.07, Path: 3.65
Setting:0_0.99_128_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_256_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_128_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_256_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:0_0.99_256_0.001_0.2, Correct: 6964, KNN: 0.10, Path: 5.84

Setting:01_0.99_256_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:01_0.99_256_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:01_0.99_256_0.001_0.2, Correct: 7225, KNN: 0.07, Path: 3.65
Setting:01_0.99_256_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:01_0.99_256_0.0001_0.1, Correct: 7225, KNN: 0.07, Path: 3.65
Setting:01_0.99_256_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65

Setting:01_0.99_128_0.0001_0.05, Correct: 7229, KNN: 0.07, Path: 3.69
Setting:01_0.99_128_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:01_0.99_128_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:01_0.99_128_0.001_0.05, Correct: 7228, KNN: 0.07, Path: 3.69
Setting:01_0.99_128_0.001_0.1, Correct: 7229, KNN: 0.07, Path: 3.69
etting:01_0.99_128_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65

Setting:1_0.99_128_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_128_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_128_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_128_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_256_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_128_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:1_0.99_128_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65

Setting:10_0.99_128_0.001_0.1, Correct: 7157, KNN: 0.07, Path: 3.88
Setting:10_0.99_256_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_256_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_128_0.0001_0.05, Correct: 7225, KNN: 0.07, Path: 3.65
Setting:10_0.99_128_0.001_0.2, Correct: 7216, KNN: 0.07, Path: 3.65
Setting:10_0.99_128_0.001_0.05, Correct: 7225, KNN: 0.07, Path: 3.65
Setting:10_0.99_128_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_128_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_256_0.001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_256_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:10_0.99_256_0.0001_0.05, Correct: 7225, KNN: 0.07, Path: 3.65
Setting:10_0.99_256_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65


Setting:100_0.99_128_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_128_0.001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_256_0.0001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_256_0.001_0.05, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_128_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_256_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_128_0.0001_0.2, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_256_0.0001_0.1, Correct: 7226, KNN: 0.07, Path: 3.65
Setting:100_0.99_256_0.001_0.1, Correct: 4176, KNN: 0.15, Path: 7.33
Setting:100_0.99_256_0.001_0.2, Correct: 3906, KNN: 0.19, Path: 12.26
Setting:100_0.99_128_0.001_0.05, Correct: 550, KNN: 0.12, Path: 6.10
Setting:100_0.99_128_0.001_0.1, Correct: 104, KNN: 0.44, Path: 19.23
