Setting:01_0.99_128_0.0001_0.2, Correct: 249, KNN: 0.34, Path: 14.80
Setting:01_0.99_256_0.001_0.05, Correct: 249, KNN: 0.36, Path: 15.31
Setting:01_0.99_256_0.0001_0.1, Correct: 252, KNN: 0.43, Path: 18.13
Setting:1_0.99_256_0.001_0.05, Correct: 235, KNN: 0.31, Path: 13.28
Setting:1_0.99_128_0.0001_0.05, Correct: 235, KNN: 0.30, Path: 13.12
Setting:1_0.99_256_0.0001_0.05, Correct: 233, KNN: 0.29, Path: 12.73
Setting:01_0.99_256_0.0001_0.2, Correct: 238, KNN: 0.41, Path: 17.53
Setting:1_0.99_256_0.0001_0.2, Correct: 234, KNN: 0.38, Path: 16.39
Setting:01_0.99_128_0.0001_0.1, Correct: 236, KNN: 0.41, Path: 17.40
Setting:1_0.99_256_0.0001_0.1, Correct: 233, KNN: 0.38, Path: 16.34
Setting:1_0.99_128_0.0001_0.1, Correct: 227, KNN: 0.38, Path: 16.34
Setting:01_0.99_256_0.001_0.2, Correct: 226, KNN: 0.38, Path: 16.02
Setting:01_0.99_256_0.0001_0.05, Correct: 224, KNN: 0.40, Path: 17.02
Setting:1_0.99_256_0.001_0.1, Correct: 218, KNN: 0.35, Path: 14.94
Setting:01_0.99_256_0.001_0.1, Correct: 200, KNN: 0.42, Path: 17.99
Setting:01_0.99_128_0.0001_0.05, Correct: 166, KNN: 0.34, Path: 14.78
Setting:01_0.99_128_0.001_0.2, Correct: 131, KNN: 0.28, Path: 12.27
Setting:1_0.99_128_0.001_0.05, Correct: 117, KNN: 0.24, Path: 10.58
Setting:01_0.99_128_0.001_0.1, Correct: 141, KNN: 0.65, Path: 27.27
Setting:10_0.99_128_0.0001_0.2, Correct: 111, KNN: 0.15, Path: 7.01
Setting:10_0.99_256_0.0001_0.1, Correct: 116, KNN: 0.46, Path: 19.59
Setting:100_0.99_256_0.001_0.05, Correct: 100, KNN: 0.28, Path: 12.21
Setting:10_0.99_256_0.001_0.1, Correct: 6, KNN: 0.76, Path: 31.33
Setting:10_0.99_128_0.001_0.1, Correct: 35, KNN: 0.40, Path: 17.17
Setting:1_0.99_256_0.001_0.2, Correct: 82, KNN: 0.37, Path: 15.98
Setting:1_0.99_128_0.0001_0.2, Correct: 77, KNN: 0.39, Path: 16.55
Setting:10_0.99_256_0.0001_0.2, Correct: 13, KNN: 0.27, Path: 11.92
Setting:100_0.99_128_0.0001_0.2, Correct: 66, KNN: 0.37, Path: 15.88
Setting:10_0.99_128_0.001_0.2, Correct: 55, KNN: 0.40, Path: 17.15
Setting:100_0.99_256_0.0001_0.1, Correct: 12, KNN: 0.27, Path: 11.83
Setting:100_0.99_256_0.001_0.1, Correct: 15, KNN: 0.25, Path: 10.80
Setting:1_0.99_128_0.001_0.1, Correct: 50, KNN: 0.47, Path: 19.80
Setting:01_0.99_128_0.001_0.05, Correct: 59, KNN: 0.39, Path: 16.80
Setting:10_0.99_128_0.001_0.05, Correct: 30, KNN: 0.28, Path: 12.27
Setting:100_0.99_128_0.0001_0.1, Correct: 11, KNN: 0.23, Path: 10.27
Setting:10_0.99_256_0.001_0.05, Correct: 17, KNN: 0.62, Path: 25.82
Setting:10_0.99_128_0.0001_0.05, Correct: 38, KNN: 0.27, Path: 11.95
Setting:10_0.99_256_0.001_0.2, Correct: 37, KNN: 0.28, Path: 12.03
Setting:100_0.99_256_0.0001_0.2, Correct: 33, KNN: 0.12, Path: 5.88
Setting:100_0.99_256_0.001_0.2, Correct: 31, KNN: 0.12, Path: 5.65
Setting:10_0.99_128_0.0001_0.1, Correct: 23, KNN: 0.43, Path: 18.30
Setting:100_0.99_128_0.0001_0.05, Correct: 22, KNN: 0.20, Path: 8.82
Setting:100_0.99_128_0.001_0.2, Correct: 7, KNN: 0.26, Path: 11.43
Setting:100_0.99_128_0.001_0.05, Correct: 16, KNN: 0.24, Path: 10.69
Setting:10_0.99_256_0.0001_0.05, Correct: 5, KNN: 0.31, Path: 13.40
Setting:1_0.99_128_0.001_0.2, Correct: 7, KNN: 0.29, Path: 12.57
