Lambda,Gamma,NumSteps,Lr,Clip,Correct,KNN,Path
0.0,0.99,256,0.001,0.05,182,0.36,6.06
0.0,0.99,256,0.001,0.2,61,0.02,1.03
0.0,0.99,128,0.0001,0.1,66,0.25,1.5
0.0,0.99,128,0.001,0.2,68,0.0,1.0
0.0,0.99,128,0.001,0.1,2,0.0,1.0
0.0,0.99,256,0.001,0.1,98,0.03,1.05
0.0,0.99,128,0.001,0.05,100,0.0,1.0
0.0,0.99,256,0.0001,0.1,104,0.02,1.08
0.0,0.99,128,0.0001,0.2,113,0.0,1.01
0.0,0.99,128,1e-05,0.05,114,0.03,1.14
0.0,0.99,256,1e-05,0.2,117,0.01,1.08
0.0,0.99,128,1e-05,0.1,120,0.03,1.12
0.0,0.99,128,0.0001,0.05,117,0.0,1.01
0.0,0.99,256,0.0001,0.2,103,0.01,1.04
0.0,0.99,256,0.0001,0.05,118,0.0,1.01
0.0,0.99,256,1e-05,0.05,118,0.01,1.03
0.0,0.99,256,1e-05,0.1,108,0.02,1.26
0.0,0.99,128,1e-05,0.2,129,0.05,1.17
0.1,0.99,256,0.001,0.1,39,0.08,1.26
0.1,0.99,256,0.0001,0.2,36,0.04,1.14
0.1,0.99,256,1e-05,0.05,108,0.0,1.0
0.1,0.99,256,0.001,0.05,80,0.05,1.1
0.1,0.99,128,1e-05,0.2,107,0.07,1.26
0.1,0.99,256,0.0001,0.1,113,0.01,1.02
0.1,0.99,128,0.0001,0.2,90,0.0,1.0
0.1,0.99,128,0.001,0.2,100,0.0,1.0
0.1,0.99,128,0.0001,0.05,85,0.08,1.16
0.1,0.99,128,0.001,0.1,37,0.01,1.03
0.1,0.99,256,1e-05,0.1,106,0.07,1.55
0.1,0.99,256,0.001,0.2,122,0.01,1.16
0.1,0.99,256,1e-05,0.2,115,0.03,1.07
0.1,0.99,128,0.0001,0.1,102,0.02,1.04
0.1,0.99,128,1e-05,0.05,115,0.0,1.2
0.1,0.99,128,0.001,0.05,107,0.0,1.0
0.1,0.99,256,0.0001,0.05,123,0.01,1.11
0.1,0.99,128,1e-05,0.1,117,0.02,1.07
1.0,0.99,128,1e-05,0.05,4,0.0,1.0
1.0,0.99,256,1e-05,0.1,1,0.0,1.0
1.0,0.99,256,0.0001,0.2,0,0.0,0.0
1.0,0.99,256,1e-05,0.05,0,0.0,0.0
1.0,0.99,256,0.001,0.2,0,0.0,0.0
1.0,0.99,256,0.001,0.1,2,0.0,1.0
1.0,0.99,256,1e-05,0.2,0,0.0,0.0
1.0,0.99,128,0.0001,0.1,2,0.0,1.0
1.0,0.99,128,0.001,0.05,0,0.0,0.0
1.0,0.99,128,0.0001,0.2,4,0.0,1.0
1.0,0.99,128,0.001,0.1,0,0.0,0.0
1.0,0.99,128,1e-05,0.2,2,0.25,2.5
1.0,0.99,128,0.001,0.2,6,0.22,1.5
1.0,0.99,256,0.001,0.05,0,0.0,0.0
1.0,0.99,128,0.0001,0.05,0,0.0,0.0
1.0,0.99,256,0.0001,0.1,127,0.02,1.05
1.0,0.99,256,0.0001,0.05,0,0.0,0.0
1.0,0.99,128,1e-05,0.1,0,0.0,0.0
10.0,0.99,128,0.001,0.2,0,0.0,0.0
10.0,0.99,128,1e-05,0.05,0,0.0,0.0
10.0,0.99,256,1e-05,0.2,2,0.0,1.0
10.0,0.99,256,0.001,0.2,0,0.0,0.0
10.0,0.99,128,0.0001,0.1,4,0.0,1.0
10.0,0.99,256,0.001,0.05,0,0.0,0.0
10.0,0.99,128,0.0001,0.2,122,0.0,1.0
10.0,0.99,256,0.0001,0.1,123,0.0,1.0
10.0,0.99,128,0.001,0.05,77,0.0,1.03
10.0,0.99,128,1e-05,0.1,0,0.0,0.0
10.0,0.99,128,0.001,0.1,0,0.0,0.0
10.0,0.99,256,1e-05,0.1,4,0.0,1.0
10.0,0.99,256,1e-05,0.05,3,0.0,1.0
10.0,0.99,256,0.0001,0.05,2,0.0,1.0
10.0,0.99,256,0.0001,0.2,0,0.0,0.0
10.0,0.99,128,1e-05,0.2,3,0.0,1.0
10.0,0.99,256,0.001,0.1,0,0.0,0.0
10.0,0.99,128,0.0001,0.05,0,0.0,0.0
100.0,0.99,256,0.0001,0.2,1,0.0,1.0
100.0,0.99,128,0.001,0.1,0,0.0,0.0
100.0,0.99,256,0.0001,0.1,0,0.0,0.0
100.0,0.99,256,0.001,0.1,0,0.0,0.0
100.0,0.99,128,1e-05,0.2,0,0.0,0.0
100.0,0.99,128,0.0001,0.2,0,0.0,0.0
100.0,0.99,256,0.001,0.05,2,0.0,1.0
100.0,0.99,256,0.0001,0.05,0,0.0,0.0
100.0,0.99,256,0.001,0.2,0,0.0,0.0
100.0,0.99,128,1e-05,0.1,1,0.0,1.0
100.0,0.99,128,1e-05,0.05,1,0.0,1.0
100.0,0.99,256,1e-05,0.05,2,0.25,1.5
100.0,0.99,256,1e-05,0.2,4,0.0,1.0
100.0,0.99,128,0.001,0.2,0,0.0,0.0
100.0,0.99,256,1e-05,0.1,0,0.0,0.0
100.0,0.99,128,0.0001,0.1,0,0.0,0.0
100.0,0.99,128,0.0001,0.05,0,0.0,0.0
100.0,0.99,128,0.001,0.05,4,0.0,1.0
# Total datapoints = 222
