Setting:0_0.99_256_0.001_0.05, Correct: 182, KNN: 0.36, Path: 6.06
Setting:10_0.99_128_0.0001_0.2, Correct: 122, KNN: 0.00, Path: 1.00
Setting:01_0.99_256_1e-05_0.05, Correct: 108, KNN: 0.00, Path: 1.00
Setting:10_0.99_256_0.0001_0.1, Correct: 123, KNN: 0.00, Path: 1.00
Setting:01_0.99_128_1e-05_0.2, Correct: 107, KNN: 0.07, Path: 1.26
Setting:1_0.99_256_0.0001_0.1, Correct: 127, KNN: 0.02, Path: 1.05
Setting:0_0.99_128_1e-05_0.2, Correct: 129, KNN: 0.05, Path: 1.17
Setting:0_0.99_256_1e-05_0.1, Correct: 108, KNN: 0.02, Path: 1.26
Setting:01_0.99_256_0.001_0.2, Correct: 122, KNN: 0.01, Path: 1.16
Setting:01_0.99_256_0.0001_0.05, Correct: 123, KNN: 0.01, Path: 1.11
Setting:0_0.99_256_1e-05_0.05, Correct: 118, KNN: 0.01, Path: 1.03
Setting:0_0.99_256_0.0001_0.05, Correct: 118, KNN: 0.00, Path: 1.01
Setting:01_0.99_256_0.0001_0.1, Correct: 113, KNN: 0.01, Path: 1.02
Setting:0_0.99_128_0.0001_0.05, Correct: 117, KNN: 0.00, Path: 1.01
Setting:0_0.99_128_1e-05_0.1, Correct: 120, KNN: 0.03, Path: 1.12
Setting:0_0.99_256_1e-05_0.2, Correct: 117, KNN: 0.01, Path: 1.08
Setting:01_0.99_128_1e-05_0.05, Correct: 115, KNN: 0.00, Path: 1.20
Setting:01_0.99_128_1e-05_0.1, Correct: 117, KNN: 0.02, Path: 1.07
Setting:0_0.99_128_1e-05_0.05, Correct: 114, KNN: 0.03, Path: 1.14
Setting:01_0.99_128_0.0001_0.1, Correct: 102, KNN: 0.02, Path: 1.04
Setting:01_0.99_256_1e-05_0.2, Correct: 115, KNN: 0.03, Path: 1.07
Setting:0_0.99_128_0.0001_0.2, Correct: 113, KNN: 0.00, Path: 1.01
Setting:0_0.99_256_0.0001_0.1, Correct: 104, KNN: 0.02, Path: 1.08
Setting:0_0.99_256_0.0001_0.2, Correct: 103, KNN: 0.01, Path: 1.04
Setting:01_0.99_256_1e-05_0.1, Correct: 106, KNN: 0.07, Path: 1.55
Setting:01_0.99_128_0.001_0.05, Correct: 107, KNN: 0.00, Path: 1.00
Setting:0_0.99_128_0.001_0.05, Correct: 100, KNN: 0.00, Path: 1.00
Setting:01_0.99_128_0.0001_0.05, Correct: 85, KNN: 0.08, Path: 1.16
Setting:01_0.99_128_0.001_0.2, Correct: 100, KNN: 0.00, Path: 1.00
Setting:01_0.99_128_0.0001_0.2, Correct: 90, KNN: 0.00, Path: 1.00
Setting:0_0.99_256_0.001_0.1, Correct: 98, KNN: 0.03, Path: 1.05
Setting:0_0.99_128_0.001_0.1, Correct: 2, KNN: 0.00, Path: 1.00
Setting:10_0.99_128_0.001_0.05, Correct: 77, KNN: 0.00, Path: 1.03
Setting:0_0.99_128_0.001_0.2, Correct: 68, KNN: 0.00, Path: 1.00
Setting:1_0.99_128_1e-05_0.1, Correct: 0, KNN: None, Path: None
Setting:01_0.99_256_0.001_0.05, Correct: 80, KNN: 0.05, Path: 1.10
Setting:100_0.99_128_0.0001_0.1, Correct: 0, KNN: None, Path: None
Setting:1_0.99_128_0.001_0.2, Correct: 6, KNN: 0.22, Path: 1.50
Setting:0_0.99_128_0.0001_0.1, Correct: 66, KNN: 0.25, Path: 1.50
Setting:100_0.99_256_1e-05_0.1, Correct: 0, KNN: None, Path: None
Setting:01_0.99_256_0.0001_0.2, Correct: 36, KNN: 0.04, Path: 1.14
Setting:01_0.99_256_0.001_0.1, Correct: 39, KNN: 0.08, Path: 1.26
Setting:10_0.99_256_1e-05_0.05, Correct: 3, KNN: 0.00, Path: 1.00
Setting:0_0.99_256_0.001_0.2, Correct: 61, KNN: 0.02, Path: 1.03
Setting:100_0.99_256_0.001_0.1, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_1e-05_0.2, Correct: 4, KNN: 0.00, Path: 1.00
Setting:10_0.99_128_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:01_0.99_128_0.001_0.1, Correct: 37, KNN: 0.01, Path: 1.03
Setting:1_0.99_256_0.0001_0.05, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_1e-05_0.05, Correct: 2, KNN: 0.25, Path: 1.50
Setting:10_0.99_256_0.001_0.1, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_1e-05_0.2, Correct: 3, KNN: 0.00, Path: 1.00
Setting:100_0.99_128_1e-05_0.05, Correct: 1, KNN: 0.00, Path: 1.00
Setting:1_0.99_128_1e-05_0.05, Correct: 4, KNN: 0.00, Path: 1.00
Setting:10_0.99_256_0.0001_0.05, Correct: 2, KNN: 0.00, Path: 1.00
Setting:1_0.99_256_1e-05_0.1, Correct: 1, KNN: 0.00, Path: 1.00
Setting:100_0.99_128_1e-05_0.1, Correct: 1, KNN: 0.00, Path: 1.00
Setting:1_0.99_128_0.001_0.1, Correct: 0, KNN: None, Path: None
Setting:10_0.99_256_1e-05_0.1, Correct: 4, KNN: 0.00, Path: 1.00
Setting:100_0.99_256_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_0.001_0.1, Correct: 2, KNN: 0.00, Path: 1.00
Setting:100_0.99_256_0.0001_0.05, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_1e-05_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_0.001_0.05, Correct: 2, KNN: 0.00, Path: 1.00
Setting:1_0.99_128_1e-05_0.2, Correct: 2, KNN: 0.25, Path: 2.50
Setting:1_0.99_128_0.0001_0.1, Correct: 2, KNN: 0.00, Path: 1.00
Setting:1_0.99_256_0.0001_0.2, Correct: 0, KNN: None, Path: None
Setting:10_0.99_256_0.001_0.05, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_0.0001_0.2, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_0.0001_0.1, Correct: 4, KNN: 0.00, Path: 1.00
Setting:10_0.99_256_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:10_0.99_256_1e-05_0.2, Correct: 2, KNN: 0.00, Path: 1.00
Setting:100_0.99_128_1e-05_0.2, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_0.001_0.1, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_0.0001_0.05, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_1e-05_0.1, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_1e-05_0.05, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_0.0001_0.2, Correct: 1, KNN: 0.00, Path: 1.00
Setting:1_0.99_128_0.001_0.05, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_0.0001_0.1, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_1e-05_0.05, Correct: 0, KNN: None, Path: None
Setting:10_0.99_256_0.0001_0.2, Correct: 0, KNN: None, Path: None
Setting:1_0.99_128_0.0001_0.2, Correct: 4, KNN: 0.00, Path: 1.00
Setting:100_0.99_128_0.001_0.1, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_0.001_0.05, Correct: 0, KNN: None, Path: None
Setting:1_0.99_128_0.0001_0.05, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_0.0001_0.05, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_0.001_0.05, Correct: 4, KNN: 0.00, Path: 1.00
