Lambda,Gamma,NumSteps,Lr,Clip,Correct,KNN,Path
0.0,0.99,256,0.0001,0.05,219,0.44,18.54
0.0,0.99,128,0.001,0.1,133,0.39,16.54
0.0,0.99,128,0.001,0.05,189,0.45,18.83
0.0,0.99,256,1e-05,0.2,190,0.39,16.61
0.0,0.99,128,1e-05,0.1,206,0.50,21.03
0.0,0.99,128,1e-05,0.05,197,0.41,17.35
0.0,0.99,256,0.001,0.05,212,0.44,18.51
0.0,0.99,256,1e-05,0.1,195,0.41,17.49
0.0,0.99,256,0.0001,0.1,216,0.43,18.07
0.0,0.99,128,0.001,0.2,216,0.45,19.19
0.0,0.99,128,0.0001,0.2,217,0.43,18.39
0.0,0.99,256,0.001,0.2,60,0.50,21.15
0.0,0.99,256,1e-05,0.05,204,0.48,20.38
0.0,0.99,128,0.0001,0.05,218,0.43,18.34
0.0,0.99,128,0.0001,0.1,219,0.44,18.72
0.0,0.99,256,0.0001,0.2,220,0.44,18.48
0.0,0.99,128,1e-05,0.2,207,0.45,19.13
0.0,0.99,256,0.001,0.1,213,0.43,18.41
0.1,0.99,256,0.0001,0.1,219,0.44,18.74
0.1,0.99,128,1e-05,0.05,0,0,0
0.1,0.99,256,1e-05,0.05,28,0.49,20.46
0.1,0.99,128,1e-05,0.1,6,0.36,15.50
0.1,0.99,256,1e-05,0.1,195,0.41,17.30
0.1,0.99,128,0.0001,0.2,218,0.43,18.16
0.1,0.99,128,0.001,0.2,203,0.44,18.46
0.1,0.99,256,1e-05,0.2,193,0.40,17.06
0.1,0.99,128,0.0001,0.05,213,0.41,17.44
0.1,0.99,128,1e-05,0.2,208,0.44,18.46
0.1,0.99,256,0.001,0.2,213,0.45,18.84
0.1,0.99,256,0.001,0.05,216,0.43,18.20
0.1,0.99,256,0.0001,0.2,219,0.43,18.28
0.1,0.99,256,0.001,0.1,213,0.43,18.38
0.1,0.99,128,0.001,0.1,210,0.44,18.60
0.1,0.99,128,0.0001,0.1,213,0.41,17.54
0.1,0.99,128,0.001,0.05,208,0.43,18.31
0.1,0.99,256,0.0001,0.05,213,0.41,17.55
1.0,0.99,256,0.001,0.05,50,0.39,16.40
1.0,0.99,256,0.001,0.2,0,0,0
1.0,0.99,128,1e-05,0.05,0,0,0
1.0,0.99,256,0.0001,0.1,15,0.47,19.67
1.0,0.99,128,0.0001,0.1,64,0.16,7.61
1.0,0.99,128,0.001,0.1,0,0,0
1.0,0.99,128,0.001,0.2,0,0,0
1.0,0.99,256,1e-05,0.2,0,0,0
1.0,0.99,256,1e-05,0.05,12,0.55,22.92
1.0,0.99,128,1e-05,0.2,86,0.49,20.47
1.0,0.99,256,1e-05,0.1,195,0.39,16.64
1.0,0.99,128,0.0001,0.2,218,0.43,18.33
1.0,0.99,256,0.0001,0.05,210,0.40,17.03
1.0,0.99,128,1e-05,0.1,185,0.37,15.75
1.0,0.99,128,0.0001,0.05,96,0.43,18.15
1.0,0.99,256,0.001,0.1,0,0,0
1.0,0.99,128,0.001,0.05,4,0.43,18.00
1.0,0.99,256,0.0001,0.2,220,0.44,18.57
10.0,0.99,128,0.001,0.05,1,0.55,23.00
10.0,0.99,256,0.001,0.05,48,0.17,7.90
10.0,0.99,256,0.001,0.1,15,0.30,12.87
10.0,0.99,256,0.0001,0.2,0,0,0
10.0,0.99,256,1e-05,0.1,6,0.36,15.50
10.0,0.99,128,1e-05,0.2,8,0.54,22.75
10.0,0.99,256,1e-05,0.05,0,0,0
10.0,0.99,128,0.0001,0.2,0,0,0
10.0,0.99,128,1e-05,0.1,0,0,0
10.0,0.99,128,0.001,0.2,79,0.43,18.00
10.0,0.99,128,0.0001,0.05,10,0.61,25.40
10.0,0.99,128,0.0001,0.1,0,0,0
10.0,0.99,128,0.001,0.1,0,0,0
10.0,0.99,256,1e-05,0.2,0,0,0
10.0,0.99,128,1e-05,0.05,86,0.49,20.47
10.0,0.99,256,0.001,0.2,0,0,0
10.0,0.99,256,0.0001,0.1,8,0.54,22.75
10.0,0.99,256,0.0001,0.05,1,0.43,18.00
100.0,0.99,128,1e-05,0.05,2,0.23,10.00
100.0,0.99,256,1e-05,0.1,22,0.35,14.86
100.0,0.99,256,1e-05,0.05,0,0,0
100.0,0.99,128,0.0001,0.1,0,0,0
100.0,0.99,128,0.0001,0.2,34,0.41,17.53
100.0,0.99,256,0.001,0.2,7,0.18,8.29
100.0,0.99,256,0.0001,0.05,0,0,0
100.0,0.99,128,0.001,0.2,0,0,0
100.0,0.99,256,0.0001,0.2,0,0,0
100.0,0.99,128,0.0001,0.05,0,0,0
100.0,0.99,256,1e-05,0.2,2,0.79,32.50
100.0,0.99,256,0.001,0.1,11,0.33,14.09
100.0,0.99,128,1e-05,0.2,21,0.28,12.10
100.0,0.99,128,0.001,0.1,5,0.41,17.20
100.0,0.99,128,0.001,0.05,0,0,0
100.0,0.99,256,0.001,0.05,0,0,0
100.0,0.99,256,0.0001,0.1,9,0.25,10.89
100.0,0.99,128,1e-05,0.1,0,0,0
# Total datapoints = 222
