Setting:0_0.99_256_0.0001_0.05, Correct: 219, KNN: 0.44, Path: 18.54
Setting:0_0.99_256_1e-05_0.05, Correct: 204, KNN: 0.48, Path: 20.38
Setting:1_0.99_256_0.0001_0.2, Correct: 220, KNN: 0.44, Path: 18.57
Setting:0_0.99_256_0.0001_0.2, Correct: 220, KNN: 0.44, Path: 18.48
Setting:0_0.99_128_1e-05_0.2, Correct: 207, KNN: 0.45, Path: 19.13
Setting:01_0.99_128_0.0001_0.2, Correct: 218, KNN: 0.43, Path: 18.16
Setting:1_0.99_128_0.0001_0.2, Correct: 218, KNN: 0.43, Path: 18.33
Setting:0_0.99_128_0.0001_0.1, Correct: 219, KNN: 0.44, Path: 18.72
Setting:0_0.99_128_0.0001_0.05, Correct: 218, KNN: 0.43, Path: 18.34
Setting:01_0.99_256_0.0001_0.2, Correct: 219, KNN: 0.43, Path: 18.28
Setting:01_0.99_256_0.001_0.2, Correct: 213, KNN: 0.45, Path: 18.84
Setting:0_0.99_256_0.001_0.1, Correct: 213, KNN: 0.43, Path: 18.41
Setting:01_0.99_256_0.0001_0.1, Correct: 219, KNN: 0.44, Path: 18.74
Setting:0_0.99_128_0.0001_0.2, Correct: 217, KNN: 0.43, Path: 18.39
Setting:01_0.99_256_0.001_0.05, Correct: 216, KNN: 0.43, Path: 18.20
Setting:0_0.99_128_0.001_0.2, Correct: 216, KNN: 0.45, Path: 19.19
Setting:01_0.99_256_0.0001_0.05, Correct: 213, KNN: 0.41, Path: 17.55
Setting:0_0.99_256_0.0001_0.1, Correct: 216, KNN: 0.43, Path: 18.07
Setting:0_0.99_256_1e-05_0.1, Correct: 195, KNN: 0.41, Path: 17.49
Setting:01_0.99_128_0.0001_0.1, Correct: 213, KNN: 0.41, Path: 17.54
Setting:01_0.99_128_0.001_0.1, Correct: 210, KNN: 0.44, Path: 18.60
Setting:01_0.99_256_0.001_0.1, Correct: 213, KNN: 0.43, Path: 18.38
Setting:01_0.99_128_0.0001_0.05, Correct: 213, KNN: 0.41, Path: 17.44
Setting:0_0.99_256_0.001_0.05, Correct: 212, KNN: 0.44, Path: 18.51
